type,id,count,exposure_rate
item,I0706,308,0.09
item,I0707,236,0.07
item,I0708,275,0.08
item,I0709,0,0.0
item,I0710,0,0.0
item,I0711,0,0.0
item,I0712,0,0.0
item,I0713,0,0.0
item,I0714,0,0.0
item,I0715,0,0.0
item,I0716,0,0.0
item,I0717,0,0.0
item,I0718,0,0.0
item,I0719,0,0.0
item,I0720,0,0.0
item,I0721,0,0.0
item,I0722,0,0.0
item,I0723,0,0.0
item,I0724,0,0.0
item,I0725,0,0.0
item,I0726,0,0.0
item,I0727,0,0.0
item,I0728,0,0.0
item,I0729,0,0.0
item,I0730,0,0.0
item,I0731,0,0.0
item,I0732,0,0.0
item,I0733,339,0.09
item,I0734,109,0.03
item,I0735,225,0.06
item,I0736,261,0.07
item,I0737,339,0.09
item,I0738,339,0.09
item,I0739,169,0.05
item,I0740,27,0.01
item,I0741,339,0.09
item,I0742,334,0.09
item,I0743,267,0.07
item,I0744,335,0.09
item,I0745,27,0.01
item,I0746,156,0.04
item,I0747,156,0.04
item,I0748,37,0.01
item,I0749,156,0.04
item,I0750,10,0.0
item,I0751,156,0.04
item,I0752,156,0.04
item,I0753,131,0.04
item,I0754,152,0.04
item,I0755,155,0.04
item,I0756,134,0.04
item,I0757,327,0.09
item,I0758,3,0.0
item,I0759,0,0.0
item,I0760,172,0.05
item,I0761,325,0.09
item,I0762,0,0.0
item,I0763,218,0.06
item,I0764,32,0.01
item,I0765,324,0.09
item,I0766,245,0.07
item,I0767,13,0.0
item,I0768,280,0.08
item,I0769,0,0.0
item,I0770,20,0.01
item,I0771,0,0.0
item,I0772,20,0.01
item,I0773,20,0.01
item,I0774,20,0.01
item,I0775,20,0.01
item,I0776,20,0.01
item,I0777,20,0.01
item,I0778,10,0.0
item,I0779,7,0.0
item,I0780,20,0.01
item,I0781,361,0.1
item,I0782,358,0.1
item,I0783,157,0.04
item,I0784,151,0.04
item,I0785,135,0.04
item,I0786,252,0.07
item,I0787,127,0.04
item,I0788,130,0.04
item,I0789,117,0.03
item,I0790,79,0.02
item,I0791,180,0.05
item,I0792,99,0.03
item,I0793,117,0.03
item,I0794,84,0.02
item,I0795,55,0.02
item,I0796,31,0.01
item,I0797,20,0.01
item,I0798,100,0.03
item,I0799,85,0.02
item,I0800,101,0.03
item,I0801,11,0.0
item,I0802,88,0.02
item,I0803,4,0.0
item,I0804,103,0.03
item,I0805,7,0.0
item,I0806,52,0.01
item,I0807,0,0.0
item,I0808,0,0.0
item,I0809,52,0.01
item,I0810,50,0.01
item,I0811,0,0.0
item,I0812,45,0.01
item,I0813,2,0.0
item,I0814,0,0.0
item,I0815,9,0.0
item,I0816,43,0.01
item,I0817,0,0.0
item,I0818,6,0.0
item,I0819,6,0.0
item,I0820,6,0.0
item,I0821,6,0.0
item,I0822,0,0.0
item,I0823,6,0.0
item,I0824,6,0.0
item,I0825,6,0.0
item,I0826,6,0.0
item,I0827,6,0.0
item,I0828,1,0.0
item,I0829,0,0.0
item,I0830,0,0.0
item,I0831,0,0.0
item,I0832,0,0.0
item,I0833,0,0.0
item,I0834,0,0.0
item,I0835,0,0.0
item,I0836,0,0.0
item,I0837,0,0.0
item,I0838,0,0.0
item,I0839,0,0.0
item,I0840,0,0.0
item,I0841,360,0.1
item,I0842,354,0.1
item,I0843,355,0.1
item,I0844,52,0.01
item,I0845,348,0.1
item,I0846,344,0.1
item,I0847,319,0.09
item,I0848,14,0.0
item,I0849,336,0.09
item,I0850,39,0.01
item,I0851,327,0.09
item,I0852,314,0.09
item,I0853,340,0.09
item,I0854,299,0.08
item,I0855,328,0.09
item,I0856,14,0.0
item,I0857,18,0.01
item,I0858,301,0.08
item,I0859,339,0.09
item,I0860,2,0.0
item,I0861,22,0.01
item,I0862,300,0.08
item,I0863,1,0.0
item,I0864,304,0.08
item,I0865,1,0.0
item,I0866,360,0.1
item,I0867,73,0.02
item,I0868,16,0.0
item,I0869,31,0.01
item,I0870,270,0.08
item,I0871,352,0.1
item,I0872,326,0.09
item,I0873,205,0.06
item,I0874,25,0.01
item,I0875,290,0.08
item,I0876,301,0.08
item,I0877,358,0.1
item,I0878,128,0.04
item,I0879,356,0.1
item,I0880,352,0.1
item,I0881,351,0.1
item,I0882,106,0.03
item,I0883,339,0.09
item,I0884,39,0.01
item,I0885,292,0.08
item,I0886,344,0.1
item,I0887,289,0.08
item,I0888,330,0.09
item,I0889,0,0.0
item,I0890,0,0.0
item,I0891,0,0.0
item,I0892,0,0.0
item,I0893,0,0.0
item,I0894,0,0.0
item,I0895,0,0.0
item,I0896,0,0.0
item,I0897,0,0.0
item,I0898,0,0.0
item,I0899,0,0.0
item,I0900,0,0.0
item,I0901,136,0.04
item,I0902,360,0.1
item,I0903,222,0.06
item,I0904,220,0.06
item,I0905,145,0.04
item,I0906,212,0.06
item,I0907,121,0.03
item,I0908,160,0.04
item,I0909,183,0.05
item,I0910,174,0.05
item,I0911,33,0.01
item,I0912,145,0.04
item,I0913,1,0.0
item,I0914,0,0.0
item,I0915,3,0.0
item,I0916,3,0.0
item,I0917,0,0.0
item,I0918,2,0.0
item,I0919,3,0.0
item,I0920,0,0.0
item,I0921,0,0.0
item,I0922,3,0.0
