type,id,count,exposure_rate
item,I0440,0,0.0
item,I0441,0,0.0
item,I0442,0,0.0
item,I0443,0,0.0
item,I0444,0,0.0
item,I0445,0,0.0
item,I0446,0,0.0
item,I0447,0,0.0
item,I0448,0,0.0
item,I0449,0,0.0
item,I0450,0,0.0
item,I0451,0,0.0
item,I0452,0,0.0
item,I0453,0,0.0
item,I0454,0,0.0
item,I0455,0,0.0
item,I0456,0,0.0
item,I0457,357,0.1
item,I0458,354,0.1
item,I0459,145,0.04
item,I0460,356,0.1
item,I0461,354,0.1
item,I0462,355,0.1
item,I0463,11,0.0
item,I0464,346,0.1
item,I0465,3,0.0
item,I0466,344,0.1
item,I0467,1,0.0
item,I0468,1,0.0
item,I0469,208,0.06
item,I0470,358,0.1
item,I0471,359,0.1
item,I0472,360,0.1
item,I0473,360,0.1
item,I0474,357,0.1
item,I0475,356,0.1
item,I0476,5,0.0
item,I0477,5,0.0
item,I0478,341,0.09
item,I0479,10,0.0
item,I0480,2,0.0
item,I0481,0,0.0
item,I0482,0,0.0
item,I0483,0,0.0
item,I0484,0,0.0
item,I0485,0,0.0
item,I0486,0,0.0
item,I0487,0,0.0
item,I0488,0,0.0
item,I0489,0,0.0
item,I0490,0,0.0
item,I0491,0,0.0
item,I0492,0,0.0
item,I0493,110,0.03
item,I0494,46,0.01
item,I0495,0,0.0
item,I0496,32,0.01
item,I0497,15,0.0
item,I0498,110,0.03
item,I0499,95,0.03
item,I0500,78,0.02
item,I0501,0,0.0
item,I0502,0,0.0
item,I0503,64,0.02
item,I0504,0,0.0
item,I0505,233,0.06
item,I0506,360,0.1
item,I0507,176,0.05
item,I0508,110,0.03
item,I0509,253,0.07
item,I0510,91,0.03
item,I0511,177,0.05
item,I0512,48,0.01
item,I0513,40,0.01
item,I0514,116,0.03
item,I0515,114,0.03
item,I0516,82,0.02
item,I0517,0,0.0
item,I0518,0,0.0
item,I0519,0,0.0
item,I0520,0,0.0
item,I0521,0,0.0
item,I0522,0,0.0
item,I0523,0,0.0
item,I0524,0,0.0
item,I0525,0,0.0
item,I0526,0,0.0
item,I0527,0,0.0
item,I0528,0,0.0
item,I0529,0,0.0
item,I0530,0,0.0
item,I0531,1,0.0
item,I0532,1,0.0
item,I0533,0,0.0
item,I0534,1,0.0
item,I0535,0,0.0
item,I0536,1,0.0
item,I0537,1,0.0
item,I0538,1,0.0
item,I0539,0,0.0
item,I0540,1,0.0
item,I0541,186,0.05
item,I0542,358,0.1
item,I0543,203,0.06
item,I0544,187,0.05
item,I0545,170,0.05
item,I0546,15,0.0
item,I0547,120,0.03
item,I0548,151,0.04
item,I0549,122,0.03
item,I0550,41,0.01
item,I0551,101,0.03
item,I0552,136,0.04
item,I0553,0,0.0
item,I0554,90,0.03
item,I0555,44,0.01
item,I0556,85,0.02
item,I0557,0,0.0
item,I0558,90,0.03
item,I0559,90,0.03
item,I0560,89,0.02
item,I0561,2,0.0
item,I0562,86,0.02
item,I0563,89,0.02
item,I0564,0,0.0
item,I0565,57,0.02
item,I0566,57,0.02
item,I0567,57,0.02
item,I0568,0,0.0
item,I0569,0,0.0
item,I0570,57,0.02
item,I0571,2,0.0
item,I0572,57,0.02
item,I0573,0,0.0
item,I0574,0,0.0
item,I0575,55,0.02
item,I0576,57,0.02
item,I0577,0,0.0
item,I0578,0,0.0
item,I0579,0,0.0
item,I0580,0,0.0
item,I0581,0,0.0
item,I0582,0,0.0
item,I0583,0,0.0
item,I0584,0,0.0
item,I0585,0,0.0
item,I0586,0,0.0
item,I0587,0,0.0
item,I0588,0,0.0
item,I0589,0,0.0
item,I0590,0,0.0
item,I0591,0,0.0
item,I0592,0,0.0
item,I0593,0,0.0
item,I0594,0,0.0
item,I0595,0,0.0
item,I0596,0,0.0
item,I0597,0,0.0
item,I0598,0,0.0
item,I0599,0,0.0
item,I0600,0,0.0
item,I0601,137,0.04
item,I0602,44,0.01
item,I0603,122,0.03
item,I0604,137,0.04
item,I0605,135,0.04
item,I0606,0,0.0
item,I0607,3,0.0
item,I0608,131,0.04
item,I0609,137,0.04
item,I0610,93,0.03
item,I0611,51,0.01
item,I0612,65,0.02
item,I0613,356,0.1
item,I0614,252,0.07
item,I0615,236,0.07
item,I0616,51,0.01
item,I0617,160,0.04
item,I0618,114,0.03
item,I0619,24,0.01
item,I0620,161,0.04
item,I0621,178,0.05
item,I0622,33,0.01
item,I0623,110,0.03
item,I0624,115,0.03
item,I0625,0,0.0
item,I0626,0,0.0
item,I0627,0,0.0
item,I0628,0,0.0
item,I0629,0,0.0
item,I0630,0,0.0
item,I0631,0,0.0
item,I0632,0,0.0
item,I0633,0,0.0
item,I0634,0,0.0
item,I0635,0,0.0
item,I0636,0,0.0
item,I0637,340,0.09
item,I0638,358,0.1
item,I0639,343,0.1
item,I0640,17,0.0
item,I0641,73,0.02
item,I0642,336,0.09
item,I0643,353,0.1
item,I0644,330,0.09
item,I0645,182,0.05
item,I0646,9,0.0
item,I0647,103,0.03
item,I0648,316,0.09
item,I0649,45,0.01
item,I0650,14,0.0
item,I0651,160,0.04
item,I0652,19,0.01
item,I0653,160,0.04
item,I0654,0,0.0
item,I0655,115,0.03
item,I0656,100,0.03
item,I0657,33,0.01
item,I0658,108,0.03
item,I0659,0,0.0
item,I0660,46,0.01
item,I0661,286,0.08
item,I0662,24,0.01
item,I0663,19,0.01
item,I0664,31,0.01
item,I0665,115,0.03
item,I0666,250,0.07
item,I0667,123,0.03
item,I0668,90,0.03
item,I0669,171,0.05
item,I0670,174,0.05
item,I0671,113,0.03
item,I0672,34,0.01
item,I0673,22,0.01
item,I0674,18,0.01
item,I0675,1,0.0
item,I0676,21,0.01
item,I0677,22,0.01
item,I0678,0,0.0
item,I0679,1,0.0
item,I0680,1,0.0
item,I0681,22,0.01
item,I0682,21,0.01
item,I0683,21,0.01
item,I0684,22,0.01
item,I0685,348,0.1
item,I0686,348,0.1
item,I0687,0,0.0
item,I0688,348,0.1
item,I0689,1,0.0
item,I0690,348,0.1
item,I0691,86,0.02
item,I0692,5,0.0
item,I0693,346,0.1
item,I0694,345,0.1
item,I0695,0,0.0
item,I0696,332,0.09
item,I0697,355,0.1
item,I0698,289,0.08
item,I0699,325,0.09
item,I0700,16,0.0
item,I0701,56,0.02
item,I0702,25,0.01
item,I0703,5,0.0
item,I0704,91,0.03
item,I0705,10,0.0
item,I0706,321,0.09
item,I0707,236,0.07
item,I0708,76,0.02
item,I0709,0,0.0
item,I0710,0,0.0
item,I0711,0,0.0
item,I0712,0,0.0
item,I0713,0,0.0
item,I0714,0,0.0
item,I0715,0,0.0
item,I0716,0,0.0
item,I0717,0,0.0
item,I0718,0,0.0
item,I0719,0,0.0
item,I0720,0,0.0
item,I0721,0,0.0
item,I0722,0,0.0
item,I0723,0,0.0
item,I0724,0,0.0
item,I0725,0,0.0
item,I0726,0,0.0
item,I0727,0,0.0
item,I0728,0,0.0
item,I0729,0,0.0
item,I0730,0,0.0
item,I0731,0,0.0
item,I0732,0,0.0
item,I0733,238,0.07
item,I0734,16,0.0
item,I0735,186,0.05
item,I0736,72,0.02
item,I0737,237,0.07
item,I0738,107,0.03
item,I0739,35,0.01
item,I0740,13,0.0
item,I0741,223,0.06
item,I0742,212,0.06
item,I0743,169,0.05
item,I0744,236,0.07
item,I0745,11,0.0
item,I0746,253,0.07
item,I0747,38,0.01
item,I0748,18,0.01
item,I0749,253,0.07
item,I0750,0,0.0
item,I0751,253,0.07
item,I0752,253,0.07
item,I0753,224,0.06
item,I0754,238,0.07
item,I0755,230,0.06
item,I0756,35,0.01
item,I0757,391,0.11
item,I0758,1,0.0
