section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
A,C54,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.458,0.498,3525,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C55,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.624,0.484,2441,4059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C56,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.756,0.43,1587,4913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C57,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.065,0.247,6075,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C58,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.441,0.497,3633,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C59,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.143,0.35,5569,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C60,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.017,0.131,6387,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C61,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.598,0.49,2613,3887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C62,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.212,0.409,5122,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C63,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.3,0.458,4550,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C64,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.385,0.487,3998,2502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C65,ITM,,NUMBER,2.0,2.0,,6500,1.0,2.0,2.0,2.0,0.0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C69,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.55,0.498,2925,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C71,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.514,0.5,3159,3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C73,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.556,0.497,2884,3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C76,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.38,0.485,4032,2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C77,ITM,,NUMBER,4.0,4.0,,6500,1.0,4.0,4.0,4.0,0.0,0,0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C78,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.321,0.467,4415,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C79,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.08,0.272,5977,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C80,ITM,,NUMBER,0.0,1.0,,6500,1.0,0.0,1.0,0.61,0.488,2534,3966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
